University,Club / Org Name,Email
UIUC,HackIllinois,contact@hackillinois.org
UIUC,Women in Computer Science (WCS),illinoiswcs@gmail.org
UIUC,ACM @ UIUC,--
UIUC,Women in Cybersecurity,wicys.illinois@gmail.com
UIUC,Open Source,opensourceillinois@gmail.com
UIUC,Women in Computer & Electrical Engineering (WECE),wece.uiuc@gmail.com
Ohio State,ACM-W (OSU),acmwosu@gmail.com
Ohio State,OHI/O,hackathon@osu.edu
Ohio State,Women in Cybersecurity (WiCyS),osuwicys@gmail.com
Ohio State,Open Source Club,opensourceclub.osu@protonmail.com
Ohio State,Artifical Intelligence Club,osuaiclub@gmail.com
Ohio State,Code 4 Community,c4cosu@gmail.com 
UIC,Association for Computing Machinery,officers@acm.cs.uic.edu
UIC,Women in Computer Science (WiCS),uicwics@gmail.com
Notre Dame,Notre Dame Linux Users Group,ndlug@nd.edu
Notre Dame,CS for Good,cs4good@nd.edu
Notre Dame,Notre Dame Women in Engineering,swe@nd.edu
IU,Computer Science Club,csclub@indiana.edu
IU,Cyber Security Club,secclub@indiana.edu
IU,Data Science Club,iudsclub@gmail.com
IU,Machine Learning 4 All,
IU,Women in Computing (WIC), wic@iu.edu
IU,Women in Cybersecurity (WiCyS),
UMich,GEECS (Girls in EE and CS),geecs.officers@umich.edu
UMich,Michigan Data Science Team,mdst-coms@umich.edu
UMich,Michigan Hackers,michiganhackers@umich.edu
UMich,MSAIL,msail-admin@umich.edu
UMich,Tech for Social Good,
UW Madison,AI @ UW,aiclubuwmadison@gmail.com
UW Madison,Cybersecurity UW,csec@ischool.wisc.edu
UW Madison,Data Science Club,dotdatauw@gmail.com
UW Madison,Data Science For Sustainable Development,dssd-madison@dssdglobal.org
UW Madison,Girls Who Code,girlswhocode.uw@gmail.com
UW Madison,Web Development Club,webdev@rso.wisc.edu
MSU,Artificial Intelligence Club,team@msuaiclub.com
MSU,ACM@MSU,acm@cse.msu.edu
MSU,MSU Hackers,contact.spartanhackers@gmail.com
MSU,MSU WIC (Women in Computing),wic-outreach@cse.msu.edu
MSU,Women in Computing,msuwic@cse.msu.edu
Northwestern,Emerging Coders,nuemergingcoders@gmail.com
Northwestern,Women In Computing,wic@u.northwestern.edu
Northwestern,NTech,joinntech@gmail.com
UChicago,Uncommon Hacks,celery@uncommonhacks.com
Case Western,ACM, acmw@case.edu
Case Western,CWRU Hacker Society,
Case Western,Hack CWRU,
